firstname,firstname_length,proba_man,proba_female,total
patrice,7,99.43,0.57,138896.0
sylvain,7,99.94,0.06,135887.0
fabrice,7,99.93,0.07,134590.0
melanie,7,0.09,99.91,133725.0
ginette,7,0.0,100.0,131609.0
quentin,7,100.0,0.0,128393.0
evelyne,7,0.0,100.0,128370.0
florian,7,99.98,0.02,127649.0
ludovic,7,99.91,0.09,127202.0
josiane,7,0.0,100.0,123102.0
mickael,7,100.0,0.0,122714.0
fernand,7,99.96,0.04,118652.0
liliane,7,0.0,100.0,112171.0
simonne,7,0.02,99.98,105251.0
pascale,7,0.03,99.97,102635.0
sabrina,7,0.0,100.0,95742.0
justine,7,0.05,99.95,93986.0
gregory,7,100.0,0.0,91732.0
yannick,7,94.29,5.71,91714.0
mohamed,7,99.98,0.02,91624.0
solange,7,0.14,99.86,90949.0
michael,7,99.96,0.04,90218.0
etienne,7,99.53,0.47,85689.0
daniele,7,0.13,99.87,84699.0
richard,7,99.78,0.22,84102.0
auguste,7,99.76,0.24,83844.0
vanessa,7,0.0,100.0,80722.0
edouard,7,99.74,0.26,79275.0
arlette,7,0.0,100.0,78578.0
william,7,99.97,0.03,77033.0
morgane,7,0.29,99.71,75141.0
estelle,7,0.0,100.0,74230.0
jessica,7,0.0,100.0,70897.0
eugenie,7,0.12,99.88,70740.0
lucette,7,0.0,100.0,69918.0
florent,7,99.96,0.04,69688.0
melissa,7,0.0,100.0,68279.0
maxence,7,98.77,1.23,61764.0
margaux,7,0.0,100.0,60865.0
coralie,7,0.0,100.0,55321.0
bastien,7,100.0,0.0,55127.0
adeline,7,0.0,100.0,54441.0
yolande,7,0.05,99.95,53796.0
viviane,7,0.0,100.0,52860.0
jeanine,7,0.0,100.0,49582.0
tristan,7,100.0,0.0,41853.0
antonin,7,99.92,0.08,40443.0
rolande,7,0.0,100.0,39942.0
blanche,7,0.22,99.78,39762.0
mathias,7,99.46,0.54,38928.0
dimitri,7,100.0,0.0,38471.0
cyrille,7,95.86,4.14,38442.0
thibaut,7,100.0,0.0,36840.0
martial,7,99.71,0.29,36780.0
gustave,7,99.53,0.47,36243.0
ophelie,7,0.0,100.0,36113.0
emeline,7,0.0,100.0,34855.0
annette,7,0.0,100.0,33525.0
germain,7,99.62,0.38,32908.0
marlene,7,0.0,100.0,32304.0
jeremie,7,99.73,0.27,31623.0
deborah,7,0.0,100.0,30714.0
esteban,7,100.0,0.0,30598.0
natacha,7,0.0,100.0,29895.0
yasmine,7,0.1,99.9,28333.0
johanna,7,0.0,100.0,27145.0
lorenzo,7,100.0,0.0,26963.0
norbert,7,99.52,0.48,26870.0
heloise,7,0.0,100.0,26534.0
armelle,7,0.0,100.0,26410.0
marceau,7,100.0,0.0,26380.0
barbara,7,0.0,100.0,26015.0
magalie,7,0.0,100.0,25829.0
laurine,7,0.0,100.0,25198.0
charlie,7,52.49,47.51,24932.0
claudie,7,1.05,98.95,24778.0
emilien,7,100.0,0.0,24499.0
anaelle,7,0.0,100.0,24439.0
sofiane,7,99.45,0.55,24014.0
perrine,7,0.0,100.0,22940.0
gaspard,7,100.0,0.0,22700.0
candice,7,0.0,100.0,22557.0
cynthia,7,0.0,100.0,22503.0
aymeric,7,100.0,0.0,22207.0
killian,7,100.0,0.0,21892.0
rosalie,7,0.67,99.33,21821.0
titouan,7,100.0,0.0,20904.0
claudia,7,0.0,100.0,20536.0
antonio,7,100.0,0.0,20411.0
yassine,7,99.73,0.27,20273.0
cecilia,7,0.0,100.0,20189.0
romuald,7,99.57,0.43,20014.0
youssef,7,100.0,0.0,19499.0
ibrahim,7,100.0,0.0,19135.0
eveline,7,0.0,100.0,17770.0
leopold,7,99.55,0.45,17665.0
aurelia,7,0.0,100.0,17578.0
augusta,7,0.14,99.86,17396.0
tiffany,7,0.0,100.0,16662.0
adolphe,7,99.25,0.75,16557.0
leonard,7,98.87,1.13,16159.0
tatiana,7,0.0,100.0,15953.0
achille,7,98.84,1.16,15658.0
leandre,7,95.93,4.07,15368.0
thibaud,7,100.0,0.0,15109.0
flavien,7,99.5,0.5,14663.0
timothe,7,100.0,0.0,14510.0
joachim,7,98.72,1.28,14315.0
melodie,7,0.0,100.0,14053.0
yasmina,7,0.0,100.0,13904.0
stephan,7,99.7,0.3,13830.0
nolwenn,7,1.32,98.68,13697.0
rebecca,7,0.0,100.0,13673.0
florine,7,0.0,100.0,13117.0
jocelyn,7,99.68,0.32,12677.0
felicie,7,0.0,100.0,12213.0
zakaria,7,100.0,0.0,12184.0
garance,7,0.66,99.34,11602.0
dolores,7,0.0,100.0,11207.0
armande,7,0.0,100.0,11103.0
brandon,7,100.0,0.0,11066.0
roberte,7,0.0,100.0,11023.0
celeste,7,6.71,93.29,10847.0
nicolle,7,0.0,100.0,10819.0
cyprien,7,99.35,0.65,10656.0
doriane,7,0.41,99.59,10618.0
melinda,7,0.0,100.0,10503.0
louison,7,45.84,54.16,10250.0
antonia,7,0.21,99.79,10149.0
lysiane,7,0.0,100.0,10130.0
gwenael,7,93.0,7.0,9817.0
camelia,7,0.0,100.0,9687.0
yveline,7,0.0,100.0,9630.0
jasmine,7,0.0,100.0,9531.0
anatole,7,98.63,1.37,9483.0
manuela,7,0.0,100.0,9469.0
lucille,7,0.0,100.0,9273.0
alberte,7,0.0,100.0,9154.0
rolland,7,100.0,0.0,8974.0
kyllian,7,100.0,0.0,8941.0
sidonie,7,1.39,98.61,8925.0
lindsay,7,1.11,98.89,8853.0
gautier,7,100.0,0.0,8809.0
khadija,7,0.0,100.0,8808.0
laurene,7,0.0,100.0,8760.0
nordine,7,99.6,0.4,8722.0
suzette,7,0.0,100.0,8492.0
maiwenn,7,0.89,99.11,8430.0
wilfrid,7,98.39,1.61,8279.0
virgile,7,99.32,0.68,8250.0
guilhem,7,100.0,0.0,8180.0
maureen,7,0.0,100.0,8040.0
ornella,7,0.0,100.0,7730.0
leandro,7,100.0,0.0,7704.0
aminata,7,0.0,100.0,7678.0
joffrey,7,100.0,0.0,7640.0
eliette,7,0.0,100.0,7501.0
donovan,7,100.0,0.0,7301.0
casimir,7,96.14,3.86,7232.0
djibril,7,100.0,0.0,7173.0
giselle,7,0.0,100.0,7064.0
mamadou,7,100.0,0.0,7032.0
prosper,7,98.37,1.63,6934.0
hadrien,7,100.0,0.0,6757.0
djamila,7,0.0,100.0,6735.0
stephen,7,100.0,0.0,6568.0
lou ann,7,0.0,100.0,6494.0
joannes,7,100.0,0.0,6427.0
isidore,7,97.51,2.49,6424.0
desiree,7,0.47,99.53,6392.0
rachida,7,0.0,100.0,6371.0
maeline,7,0.0,100.0,6151.0
eulalie,7,2.37,97.63,5979.0
gwendal,7,100.0,0.0,5859.0
rosette,7,0.0,100.0,5845.0
alessio,7,100.0,0.0,5817.0
gwladys,7,0.0,100.0,5813.0
auriane,7,0.0,100.0,5756.0
gaetane,7,0.0,100.0,5679.0
edmonde,7,0.0,100.0,5652.0
marilou,7,0.0,100.0,5619.0
allison,7,0.0,100.0,5502.0
alfreda,7,0.0,100.0,5422.0
reynald,7,100.0,0.0,5197.0
johanne,7,6.71,93.29,5173.0
solenne,7,0.0,100.0,5162.0
marylou,7,0.0,100.0,5150.0
marilyn,7,0.0,100.0,5134.0
gervais,7,98.99,1.01,5125.0
laureen,7,0.0,100.0,5072.0
romaric,7,100.0,0.0,5022.0
noeline,7,0.0,100.0,4984.0
madison,7,1.93,98.07,4976.0
cameron,7,91.15,8.85,4963.0
louanne,7,0.0,100.0,4924.0
nesrine,7,0.0,100.0,4883.0
octavie,7,0.0,100.0,4875.0
juliana,7,0.0,100.0,4792.0
vianney,7,100.0,0.0,4778.0
sixtine,7,0.0,100.0,4753.0
hilaire,7,92.6,7.4,4741.0
soumaya,7,0.0,100.0,4670.0
jordane,7,62.24,37.76,4658.0
hermine,7,0.0,100.0,4639.0
alienor,7,0.0,100.0,4581.0
shirley,7,0.0,100.0,4534.0
lisette,7,0.0,100.0,4516.0
maelyne,7,0.0,100.0,4477.0
lauryne,7,0.0,100.0,4402.0
joaquim,7,100.0,0.0,4367.0
alisson,7,0.0,100.0,4366.0
matthew,7,100.0,0.0,4364.0
mustafa,7,100.0,0.0,4292.0
josephe,7,1.53,98.47,4192.0
maximin,7,97.46,2.54,4176.0
colombe,7,2.52,97.48,4172.0
andreas,7,98.79,1.21,4140.0
alyssia,7,0.0,100.0,4073.0
malvina,7,0.0,100.0,4065.0
anselme,7,91.46,8.54,4015.0
yolaine,7,0.0,100.0,3991.0
belinda,7,0.0,100.0,3880.0
aliette,7,0.0,100.0,3848.0
roberto,7,100.0,0.0,3782.0
roxanne,7,0.0,100.0,3767.0
sephora,7,0.0,100.0,3756.0
alexane,7,0.0,100.0,3651.0
arielle,7,0.0,100.0,3646.0
felicia,7,0.0,100.0,3622.0
mattheo,7,100.0,0.0,3610.0
nathael,7,99.38,0.62,3563.0
steeven,7,100.0,0.0,3511.0
leonore,7,0.0,100.0,3471.0
ricardo,7,100.0,0.0,3452.0
gwenola,7,0.0,100.0,3428.0
guylene,7,0.0,100.0,3357.0
sibylle,7,0.0,100.0,3346.0
servane,7,0.0,100.0,3334.0
marwane,7,100.0,0.0,3281.0
mederic,7,97.5,2.5,3274.0
juliane,7,1.44,98.56,3255.0
terence,7,100.0,0.0,3215.0
nassima,7,0.0,100.0,3211.0
calixte,7,83.37,16.63,3205.0
adriana,7,0.0,100.0,3182.0
emelyne,7,0.0,100.0,3159.0
mellina,7,0.0,100.0,3138.0
beatrix,7,0.0,100.0,3124.0
jeannot,7,100.0,0.0,3099.0
sybille,7,0.0,100.0,3096.0
ousmane,7,99.35,0.65,3094.0
loriane,7,0.0,100.0,3084.0
sauveur,7,100.0,0.0,3043.0
jeannie,7,0.0,100.0,3033.0
matthis,7,100.0,0.0,2978.0
fortune,7,95.96,4.04,2943.0
astride,7,0.0,100.0,2934.0
bettina,7,0.0,100.0,2910.0
stanley,7,100.0,0.0,2902.0
alessia,7,0.0,100.0,2890.0
josyane,7,0.0,100.0,2877.0
luciano,7,100.0,0.0,2877.0
kamelia,7,0.0,100.0,2866.0
fantine,7,0.0,100.0,2855.0
matisse,7,95.99,4.01,2840.0
raynald,7,100.0,0.0,2838.0
mariama,7,0.0,100.0,2816.0
youness,7,100.0,0.0,2807.0
oussama,7,100.0,0.0,2805.0
bouchra,7,0.0,100.0,2804.0
jannick,7,44.66,55.34,2792.0
mallory,7,23.68,76.32,2791.0
lisiane,7,0.0,100.0,2789.0
daniela,7,0.0,100.0,2774.0
slimane,7,100.0,0.0,2760.0
orianne,7,0.0,100.0,2735.0
hermann,7,100.0,0.0,2689.0
aissata,7,0.0,100.0,2686.0
aaliyah,7,0.0,100.0,2666.0
lionnel,7,100.0,0.0,2657.0
josepha,7,3.73,96.27,2654.0
isaline,7,0.0,100.0,2642.0
fabiola,7,0.0,100.0,2637.0
lyliane,7,0.0,100.0,2636.0
maurine,7,0.0,100.0,2633.0
abigael,7,0.95,99.05,2629.0
severin,7,98.74,1.26,2626.0
malorie,7,0.0,100.0,2580.0
jeffrey,7,100.0,0.0,2563.0
ambrine,7,0.0,100.0,2562.0
shannon,7,3.29,96.71,2553.0
adriano,7,100.0,0.0,2543.0
mayline,7,0.0,100.0,2536.0
bastian,7,100.0,0.0,2523.0
nassera,7,0.0,100.0,2523.0
sabrine,7,0.0,100.0,2513.0
abraham,7,100.0,0.0,2512.0
faustin,7,96.14,3.86,2512.0
giulian,7,100.0,0.0,2505.0
chahine,7,98.95,1.05,2483.0
enrique,7,100.0,0.0,2462.0
abigail,7,0.0,100.0,2453.0
timothy,7,100.0,0.0,2443.0
daphnee,7,0.0,100.0,2441.0
manelle,7,0.0,100.0,2436.0
sherine,7,0.0,100.0,2435.0
lorette,7,0.0,100.0,2392.0
ameline,7,0.0,100.0,2391.0
mariame,7,0.0,100.0,2380.0
annabel,7,0.0,100.0,2353.0
mariane,7,0.0,100.0,2351.0
zachary,7,100.0,0.0,2316.0
elliott,7,100.0,0.0,2313.0
pierrot,7,100.0,0.0,2302.0
theresa,7,0.0,100.0,2296.0
bradley,7,100.0,0.0,2292.0
wassila,7,0.0,100.0,2267.0
palmyre,7,3.89,96.11,2264.0
eleanor,7,0.0,100.0,2261.0
mirella,7,0.0,100.0,2230.0
lambert,7,92.89,7.11,2221.0
gaylord,7,100.0,0.0,2192.0
janelle,7,0.0,100.0,2149.0
alberto,7,100.0,0.0,2148.0
ophelia,7,0.0,100.0,2127.0
elianne,7,0.0,100.0,2119.0
camilia,7,0.0,100.0,2109.0
natalia,7,0.0,100.0,2108.0
chelsea,7,0.0,100.0,2084.0
cedrick,7,100.0,0.0,2079.0
lorelei,7,0.0,100.0,2071.0
nisrine,7,0.0,100.0,2041.0
sergine,7,0.0,100.0,2018.0
francky,7,100.0,0.0,2015.0
alberic,7,100.0,0.0,2007.0
mariana,7,0.0,100.0,2005.0
lilwenn,7,0.0,100.0,1995.0
cherine,7,0.0,100.0,1992.0
melyssa,7,0.0,100.0,1991.0
zakarya,7,100.0,0.0,1961.0
oceanne,7,0.0,100.0,1959.0
melaine,7,19.96,80.04,1949.0
laurane,7,0.0,100.0,1941.0
sylvere,7,92.21,7.79,1913.0
barnabe,7,94.08,5.92,1892.0
noellie,7,0.0,100.0,1890.0
benoite,7,0.0,100.0,1885.0
malaury,7,6.9,93.1,1883.0
adelina,7,0.0,100.0,1877.0
dimitry,7,100.0,0.0,1877.0
harmony,7,0.0,100.0,1868.0
modeste,7,64.52,35.48,1852.0
emerick,7,100.0,0.0,1834.0
stevens,7,100.0,0.0,1832.0
hedwige,7,1.15,98.85,1825.0
francia,7,0.0,100.0,1821.0
sylvana,7,0.0,100.0,1818.0
calista,7,0.0,100.0,1816.0
maellys,7,0.0,100.0,1813.0
yvelise,7,0.0,100.0,1813.0
lassana,7,100.0,0.0,1801.0
guenael,7,96.76,3.24,1790.0
tasnime,7,0.0,100.0,1790.0
nicaise,7,29.75,70.25,1785.0
romaine,7,0.0,100.0,1770.0
thereze,7,0.0,100.0,1767.0
alexine,7,0.0,100.0,1761.0
lindsey,7,1.37,98.63,1750.0
maurane,7,0.0,100.0,1742.0
youssra,7,0.0,100.0,1732.0
batiste,7,100.0,0.0,1731.0
laurena,7,0.0,100.0,1731.0
maelyss,7,0.0,100.0,1726.0
brendan,7,100.0,0.0,1716.0
colleen,7,0.0,100.0,1710.0
solveig,7,1.49,98.51,1682.0
myriame,7,0.0,100.0,1670.0
claudio,7,100.0,0.0,1638.0
arnauld,7,100.0,0.0,1634.0
gratien,7,98.03,1.97,1621.0
huseyin,7,100.0,0.0,1619.0
goulven,7,100.0,0.0,1618.0
firdaws,7,0.0,100.0,1612.0
larissa,7,0.0,100.0,1610.0
rosaire,7,95.76,4.24,1604.0
carmela,7,0.0,100.0,1602.0
salomon,7,100.0,0.0,1599.0
leonide,7,21.59,78.41,1589.0
tidiane,7,100.0,0.0,1582.0
malcolm,7,100.0,0.0,1579.0
silvere,7,94.27,5.73,1572.0
cosette,7,0.0,100.0,1569.0
liliana,7,0.0,100.0,1567.0
maeliss,7,0.0,100.0,1561.0
luciana,7,0.0,100.0,1555.0
kyliann,7,100.0,0.0,1550.0
jehanne,7,0.0,100.0,1547.0
trystan,7,100.0,0.0,1543.0
armando,7,100.0,0.0,1537.0
mariano,7,100.0,0.0,1537.0
rosario,7,49.12,50.88,1537.0
gontran,7,91.57,8.43,1531.0
bleuenn,7,0.0,100.0,1520.0
cherifa,7,0.0,100.0,1513.0
lorenza,7,0.0,100.0,1511.0
delphin,7,100.0,0.0,1508.0
marylin,7,0.0,100.0,1507.0
matilde,7,0.0,100.0,1507.0
marlyse,7,0.0,100.0,1501.0
armance,7,0.0,100.0,1486.0
janique,7,0.0,100.0,1486.0
gilette,7,0.0,100.0,1483.0
crystal,7,0.0,100.0,1454.0
leticia,7,0.0,100.0,1454.0
czeslaw,7,100.0,0.0,1453.0
sheryne,7,0.0,100.0,1445.0
mouloud,7,100.0,0.0,1424.0
georgia,7,0.0,100.0,1413.0
pharell,7,100.0,0.0,1413.0
othmane,7,100.0,0.0,1407.0
calypso,7,0.0,100.0,1400.0
orlando,7,100.0,0.0,1400.0
matheis,7,100.0,0.0,1384.0
pierric,7,100.0,0.0,1375.0
mahmoud,7,100.0,0.0,1368.0
marjory,7,0.0,100.0,1368.0
huberte,7,0.0,100.0,1366.0
alysson,7,0.0,100.0,1365.0
ysaline,7,0.0,100.0,1364.0
georget,7,100.0,0.0,1355.0
herbert,7,100.0,0.0,1346.0
kamilia,7,0.0,100.0,1330.0
vicente,7,96.73,3.27,1316.0
cinthia,7,0.0,100.0,1313.0
carinne,7,0.0,100.0,1307.0
natalie,7,0.0,100.0,1306.0
joaquin,7,100.0,0.0,1300.0
juliann,7,98.23,1.77,1296.0
sylvine,7,0.0,100.0,1281.0
nawelle,7,0.0,100.0,1279.0
carmelo,7,100.0,0.0,1277.0
soumeya,7,0.0,100.0,1276.0
maxance,7,96.83,3.17,1261.0
chirine,7,0.0,100.0,1255.0
kayliah,7,0.0,100.0,1252.0
djilali,7,100.0,0.0,1249.0
charley,7,89.25,10.75,1246.0
benoist,7,100.0,0.0,1238.0
pelagie,7,3.4,96.6,1236.0
cassidy,7,3.75,96.25,1226.0
alexina,7,0.0,100.0,1216.0
vanille,7,0.0,100.0,1215.0
aimable,7,89.37,10.63,1214.0
kristel,7,0.0,100.0,1208.0
noelyne,7,0.0,100.0,1199.0
morgann,7,61.94,38.06,1198.0
silvain,7,100.0,0.0,1193.0
mansour,7,100.0,0.0,1192.0
karelle,7,0.0,100.0,1188.0
emanuel,7,100.0,0.0,1187.0
silvana,7,0.0,100.0,1185.0
arnault,7,100.0,0.0,1179.0
kawthar,7,0.0,100.0,1172.0
djeneba,7,0.0,100.0,1161.0
sterenn,7,0.0,100.0,1155.0
ludmila,7,0.0,100.0,1153.0
beverly,7,0.0,100.0,1152.0
xaviere,7,0.0,100.0,1151.0
giovani,7,100.0,0.0,1147.0
ezekiel,7,100.0,0.0,1145.0
fulbert,7,92.74,7.26,1144.0
alfredo,7,100.0,0.0,1138.0
malicia,7,0.0,100.0,1135.0
idrissa,7,98.23,1.77,1129.0
annaick,7,0.0,100.0,1125.0
douglas,7,100.0,0.0,1124.0
madyson,7,0.0,100.0,1119.0
killyan,7,100.0,0.0,1115.0
auxence,7,97.48,2.52,1113.0
kaoutar,7,0.0,100.0,1105.0
lucinda,7,0.0,100.0,1103.0
placide,7,80.49,19.51,1097.0
christa,7,0.0,100.0,1094.0
jenifer,7,0.0,100.0,1083.0
shanice,7,0.0,100.0,1081.0
celiane,7,0.0,100.0,1070.0
maelane,7,0.0,100.0,1068.0
rodrigo,7,100.0,0.0,1064.0
linette,7,0.0,100.0,1062.0
suzelle,7,0.0,100.0,1059.0
oumaima,7,0.0,100.0,1057.0
meziane,7,100.0,0.0,1055.0
lidwine,7,0.0,100.0,1050.0
shainez,7,0.0,100.0,1049.0
albanie,7,0.0,100.0,1047.0
souhail,7,100.0,0.0,1046.0
camilla,7,0.0,100.0,1032.0
juanita,7,0.0,100.0,1032.0
matilda,7,0.0,100.0,1030.0
zoubida,7,0.0,100.0,1030.0
muriele,7,0.0,100.0,1028.0
sophian,7,100.0,0.0,1025.0
elouann,7,96.78,3.22,1024.0
alissia,7,0.0,100.0,1020.0
tiburce,7,79.12,20.88,1020.0
anthime,7,100.0,0.0,1018.0
jacquie,7,90.59,9.41,1010.0
renelle,7,0.0,100.0,1009.0
nadiege,7,0.0,100.0,1007.0
candide,7,31.51,68.49,1003.0
pierre,6,99.9,0.1,892531.0
michel,6,99.98,0.02,820534.0
jeanne,6,0.02,99.98,559437.0
marcel,6,99.98,0.02,468658.0
claude,6,87.9,12.1,468395.0
daniel,6,99.96,0.04,435849.0
robert,6,99.96,0.04,419277.0
gerard,6,99.92,0.08,379754.0
joseph,6,99.87,0.13,376997.0
sylvie,6,0.03,99.97,364772.0
julien,6,99.98,0.02,344694.0
pascal,6,99.95,0.05,307978.0
nicole,6,0.13,99.87,293917.0
helene,6,0.06,99.94,281596.0
thomas,6,99.88,0.12,279673.0
louise,6,0.02,99.98,271503.0
denise,6,0.01,99.99,263383.0
yvonne,6,0.01,99.99,256966.0
sophie,6,0.05,99.95,246056.0
celine,6,0.05,99.95,239158.0
didier,6,99.93,0.07,237347.0
maxime,6,99.45,0.55,222391.0
simone,6,0.03,99.97,219967.0
lucien,6,99.96,0.04,216339.0
andree,6,0.06,99.94,215561.0
jerome,6,99.9,0.1,208520.0
albert,6,99.95,0.05,204282.0
yvette,6,0.0,100.0,203445.0
emilie,6,0.03,99.97,197958.0
odette,6,0.05,99.95,192667.0
romain,6,99.96,0.04,192392.0
cecile,6,0.1,99.9,177955.0
franck,6,100.0,0.0,177748.0
gilles,6,99.91,0.09,175741.0
elodie,6,0.0,100.0,160492.0
claire,6,0.14,99.86,159898.0
cedric,6,100.0,0.0,152701.0
alexis,6,99.74,0.26,149394.0
audrey,6,0.14,99.86,141674.0
adrien,6,99.98,0.02,137232.0
gisele,6,0.06,99.94,137206.0
arnaud,6,100.0,0.0,134571.0
jeremy,6,100.0,0.0,134471.0
roland,6,99.98,0.02,132464.0
annick,6,0.12,99.88,131621.0
nadine,6,0.0,100.0,131520.0
victor,6,99.9,0.1,129420.0
benoit,6,99.86,0.14,126532.0
damien,6,99.95,0.05,126147.0
arthur,6,99.94,0.06,125565.0
marion,6,0.17,99.83,125360.0
marthe,6,0.12,99.88,122874.0
karine,6,0.0,100.0,121115.0
marine,6,0.0,100.0,119014.0
nathan,6,99.96,0.04,114735.0
eliane,6,0.02,99.98,114031.0
xavier,6,100.0,0.0,112582.0
fabien,6,100.0,0.0,110924.0
eugene,6,99.81,0.19,106390.0
carole,6,0.0,100.0,105843.0
sandra,6,0.0,100.0,103758.0
amelie,6,0.12,99.88,98659.0
myriam,6,0.18,99.82,98407.0
joelle,6,0.0,100.0,93757.0
gaston,6,99.84,0.16,93199.0
lionel,6,100.0,0.0,92309.0
samuel,6,99.92,0.08,92041.0
maryse,6,0.0,100.0,91861.0
oceane,6,0.0,100.0,86666.0
marius,6,99.85,0.15,84023.0
mathis,6,100.0,0.0,83607.0
magali,6,0.0,100.0,74163.0
noemie,6,0.0,100.0,74121.0
angele,6,0.33,99.67,71813.0
muriel,6,0.36,99.64,70998.0
berthe,6,0.29,99.71,70842.0
janine,6,0.0,100.0,68628.0
aurore,6,0.0,100.0,66103.0
martin,6,99.9,0.1,65943.0
hubert,6,99.72,0.28,65939.0
armand,6,99.94,0.06,65871.0
alfred,6,99.96,0.04,65834.0
sabine,6,0.03,99.97,64042.0
leonie,6,0.03,99.97,63893.0
regine,6,0.0,100.0,63053.0
gaelle,6,0.0,100.0,60194.0
romane,6,0.49,99.51,59448.0
andrea,6,17.71,82.29,56671.0
matheo,6,100.0,0.0,55593.0
jordan,6,99.86,0.14,55012.0
edmond,6,99.8,0.2,54636.0
gaetan,6,99.71,0.29,53876.0
ernest,6,99.8,0.2,53666.0
agathe,6,0.39,99.61,52710.0
rachel,6,0.95,99.05,50871.0
alicia,6,0.0,100.0,50204.0
nadege,6,0.0,100.0,48638.0
margot,6,0.0,100.0,46162.0
carine,6,0.0,100.0,46054.0
maelys,6,0.0,100.0,44613.0
marina,6,0.0,100.0,44205.0
olivia,6,0.0,100.0,41932.0
matteo,6,100.0,0.0,39415.0
alexia,6,0.0,100.0,37294.0
lucile,6,0.19,99.81,37120.0
manuel,6,100.0,0.0,36549.0
eloise,6,0.0,100.0,33907.0
maelle,6,0.0,100.0,33739.0
dorian,6,99.93,0.07,33536.0
steven,6,100.0,0.0,33447.0
morgan,6,92.96,7.04,32932.0
solene,6,0.0,100.0,32253.0
gerald,6,99.93,0.07,32188.0
carmen,6,0.24,99.76,31048.0
france,6,6.11,93.89,30036.0
laurie,6,0.17,99.83,29774.0
melina,6,0.0,100.0,29756.0
kylian,6,100.0,0.0,29381.0
fatima,6,0.0,100.0,28394.0
noelle,6,0.0,100.0,28217.0
ingrid,6,0.0,100.0,27878.0
mathys,6,99.93,0.07,27172.0
lilian,6,98.77,1.23,26723.0
salome,6,0.16,99.84,26564.0
hugues,6,99.26,0.74,25805.0
axelle,6,0.0,100.0,24522.0
renaud,6,100.0,0.0,24483.0
mylene,6,0.0,100.0,24427.0
louane,6,0.17,99.83,24060.0
eliott,6,99.81,0.19,23616.0
malika,6,0.0,100.0,23508.0
yohann,6,100.0,0.0,22883.0
charly,6,97.74,2.26,21968.0
coline,6,0.0,100.0,21843.0
ismael,6,99.91,0.09,21799.0
justin,6,99.73,0.27,21645.0
rafael,6,100.0,0.0,21545.0
sylvia,6,0.0,100.0,21468.0
edwige,6,2.6,97.4,21226.0
roxane,6,0.0,100.0,21119.0
mikael,6,100.0,0.0,19731.0
jackie,6,92.57,7.43,19479.0
johann,6,99.34,0.66,19339.0
amaury,6,100.0,0.0,19283.0
desire,6,99.56,0.44,18912.0
anissa,6,0.0,100.0,18911.0
helena,6,0.0,100.0,18772.0
flavie,6,0.0,100.0,18713.0
rachid,6,100.0,0.0,18591.0
arsene,6,94.42,5.58,18582.0
louisa,6,0.0,100.0,18391.0
esther,6,0.7,99.3,18326.0
tanguy,6,100.0,0.0,18031.0
younes,6,100.0,0.0,17978.0
julian,6,100.0,0.0,17681.0
stella,6,0.0,100.0,17640.0
antony,6,99.76,0.24,17610.0
astrid,6,0.27,99.73,17270.0
corine,6,0.0,100.0,17178.0
freddy,6,100.0,0.0,16550.0
nassim,6,99.83,0.17,16228.0
alison,6,0.26,99.74,15927.0
yacine,6,98.05,1.95,15760.0
leslie,6,1.36,98.64,15486.0
johnny,6,100.0,0.0,15397.0
sophia,6,0.0,100.0,15357.0
basile,6,98.77,1.23,14517.0
miguel,6,99.47,0.53,14419.0
meline,6,0.0,100.0,14411.0
noelie,6,0.0,100.0,14345.0
yannis,6,99.6,0.4,14260.0
megane,6,0.0,100.0,14247.0
amelia,6,0.0,100.0,13507.0
alizee,6,0.0,100.0,13446.0
angelo,6,100.0,0.0,13115.0
samira,6,0.0,100.0,12981.0
giulia,6,0.0,100.0,12791.0
wassim,6,100.0,0.0,12638.0
octave,6,99.76,0.24,12273.0
marvin,6,100.0,0.0,11911.0
maissa,6,0.18,99.82,11633.0
rayane,6,98.56,1.44,11538.0
rejane,6,0.0,100.0,11493.0
karima,6,0.0,100.0,11311.0
judith,6,0.0,100.0,11244.0
dalila,6,0.0,100.0,11211.0
albane,6,0.0,100.0,11144.0
soline,6,0.0,100.0,11088.0
melvin,6,100.0,0.0,11076.0
mailys,6,0.0,100.0,11012.0
joshua,6,99.77,0.23,10784.0
alyssa,6,0.0,100.0,10665.0
kilian,6,100.0,0.0,10632.0
carlos,6,100.0,0.0,10609.0
ariane,6,0.0,100.0,10485.0
moussa,6,99.81,0.19,10462.0
ulysse,6,99.75,0.25,10416.0
clovis,6,100.0,0.0,10414.0
soraya,6,0.0,100.0,10286.0
melody,6,0.0,100.0,10280.0
oriane,6,0.0,100.0,10047.0
steeve,6,100.0,0.0,10022.0
gladys,6,0.0,100.0,10005.0
yamina,6,0.0,100.0,9994.0
orlane,6,0.4,99.6,9776.0
leonce,6,78.01,21.99,9699.0
vivien,6,99.67,0.33,9564.0
angela,6,0.0,100.0,9383.0
mariam,6,0.0,100.0,9373.0
chiara,6,0.0,100.0,9316.0
emeric,6,100.0,0.0,9281.0
daphne,6,0.0,100.0,9215.0
maryam,6,0.0,100.0,9185.0
rosine,6,0.0,100.0,9183.0
sirine,6,0.22,99.78,9180.0
dounia,6,0.0,100.0,9085.0
fatiha,6,0.0,100.0,9032.0
emilia,6,0.0,100.0,9003.0
brahim,6,100.0,0.0,8952.0
ismail,6,100.0,0.0,8766.0
firmin,6,98.36,1.64,8744.0
